EK1100;EK1100;0x2;0x44c2c52;2000
EL2502;EL2502;0x2;0x9c63052;-150
EL2502;EL2502;0x2;0x9c63052;-150
EL2502;EL2502;0x2;0x9c63052;-150
EL2809;EL2809;0x2;0xAF93052;-140
EL2809;EL2809;0x2;0xAF93052;-140
EL2809;EL2809;0x2;0xAF93052;-140
EL1809;EL1809;0x2;0x07113052;-100
EL6021;EL6021;0x2;0x17853052;-170
EL6021;EL6021;0x2;0x17853052;-170
EL6001;EL6001;0x2;0x17713052;-120
EL3124;EL3124;0x2;0xc343052;-130
EL3124;EL3124;0x2;0xc343052;-130
EL4104;EL4104;0x2;0x10083052;-190
EL9410;EL9410;0x2;0x24c23052;2000
EL2596;EL2596;0x2;0xa243052;-240
EL2596;EL2596;0x2;0xa243052;-240
EL3314;EL3314;0x2;0xcf23052;-200
EL3314;EL3314;0x2;0xcf23052;-200
EL3164;EL3164;0x2;0xc5c3052;-130
EL4104;EL4104;0x2;0x10083052;-190
EL3751;EL3751;0x2;0x0ea73052;-260
EL3751;EL3751;0x2;0x0ea73052;-260
EL6021;EL6021;0x2;0x17853052;-170
EL9410;EL9410;0x2;0x24c23052;2000
EL2124;EL2124;0x2;0x84c3052;-130
EL2124;EL2124;0x2;0x84c3052;-130
EL1124;EL1124;0x2;0x4643052;-90
EL1124;EL1124;0x2;0x4643052;-90
EL1124;EL1124;0x2;0x4643052;-90
EL1124;EL1124;0x2;0x4643052;-90
EL9505;EL9505;0x2;0x25213052;-90